date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:03	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:01%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484864809.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484864809.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:04	104706/104706	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223929b3ef871fa90bbb4e77e005851e74%22	https://use.fontawesome.com/releases/v5.0.13/webfonts/fa-regular-400.svg	/home/sankarmoorthy/websites/PANDIANREALESTATES/use.fontawesome.com/releases/v5.0.13/webfonts/fa-regular-400.svg	(from https://use.fontawesome.com/releases/v5.0.13/css/all.css)
22:12:06	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:04%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599485750956.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599485750956.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:06	599834/599834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b032e14eac87e3001396ff597e4ec15f%22	https://use.fontawesome.com/releases/v5.0.13/webfonts/fa-brands-400.svg	/home/sankarmoorthy/websites/PANDIANREALESTATES/use.fontawesome.com/releases/v5.0.13/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.0.13/css/all.css)
22:12:06	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:04%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484848338.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599484848338.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:07	488395/488395	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%229bbbee00f65769a64927764ef51af6d0%22	https://use.fontawesome.com/releases/v5.0.13/webfonts/fa-solid-900.svg	/home/sankarmoorthy/websites/PANDIANREALESTATES/use.fontawesome.com/releases/v5.0.13/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.0.13/css/all.css)
22:12:07	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:06%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041484.jpeg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041484.jpeg	(from https://mycrd.in/new-tiruppur-traders)
22:12:07	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:07%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041488.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041488.jpg	(from https://mycrd.in/new-tiruppur-traders)
22:12:08	75319/75319	---M--	200	added ('OK')	image/jpeg	etag:W/%2212637-17ab8121472%22	https://mycrd.in/templates/template1/bgwood.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/mycrd.in/templates/template1/bgwood.jpg	(from https://mycrd.in/templates/template1/style.css)
22:12:09	355/355	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	application/xml	date:Sun,%2018%20Jul%202021%2016:42:08%20GMT	https://vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041489.jpg	/home/sankarmoorthy/websites/PANDIANREALESTATES/vcard-bucket.s3.us-east-2.amazonaws.com/A7/3373/1599486041489.jpg	(from https://mycrd.in/new-tiruppur-traders)
